Date,BACS,BARANYA,BEKES,BORSOD,BUDAPEST,CSONGRAD,FEJER,GYOR,HAJDU,HEVES,JASZ,KOMAROM,NOGRAD,PEST,SOMOGY,SZABOLCS,TOLNA,VAS,VESZPREM,ZALA
2011-04-25,45,28,73,75,129,25,51,50,49,38,47,20,3,195,31,33,8,11,74,18
2011-05-02,87,49,33,158,161,54,92,51,153,47,79,52,2,149,46,167,15,11,85,65
2011-05-09,71,17,53,101,121,71,58,60,119,90,62,18,9,172,21,128,22,14,102,32
2011-05-16,101,55,31,109,128,95,71,52,69,60,57,47,35,152,31,100,7,2,100,40
2011-05-23,71,8,49,132,150,74,42,50,138,95,42,64,3,152,23,72,21,5,104,44
2011-05-30,86,62,33,127,146,39,73,34,124,120,41,42,44,141,44,54,44,6,85,45
2011-06-06,64,29,45,118,115,48,56,25,108,97,46,38,27,93,23,52,39,8,72,26
2011-06-13,46,38,47,64,120,52,42,19,38,82,43,23,20,68,16,48,34,9,60,19
2011-06-20,46,21,37,89,140,24,53,23,92,57,57,33,4,95,16,40,12,10,50,28
2011-06-27,51,23,7,36,73,95,22,21,36,37,12,21,12,61,18,19,5,3,39,37
2011-07-04,42,10,7,31,91,27,35,28,21,39,11,14,3,103,23,67,26,24,37,6
2011-07-11,16,3,5,35,71,17,21,23,24,21,8,14,5,65,7,11,0,0,16,15
2011-07-18,10,1,2,27,61,8,15,14,20,43,9,11,4,16,14,4,5,4,33,9
2011-07-25,8,11,0,26,19,1,6,4,6,24,14,6,3,21,10,5,0,1,9,15
2011-08-01,5,2,0,8,16,4,4,6,15,12,1,2,2,6,4,4,1,1,13,5
2011-08-08,3,0,1,5,11,28,5,4,19,21,2,2,2,11,2,3,1,1,5,2
2011-08-15,0,4,0,4,17,13,0,3,6,8,5,2,5,6,4,2,0,1,3,0
2011-08-22,1,1,2,5,14,23,2,3,12,6,3,3,1,7,0,9,1,5,5,1
2011-08-29,1,0,1,10,13,2,0,3,1,6,0,1,0,3,1,1,0,1,6,4
2011-09-05,0,1,1,8,22,1,0,4,12,2,1,2,9,4,0,0,0,0,1,1
2011-09-12,2,0,1,2,42,2,0,1,2,4,2,3,1,6,2,3,4,5,3,0
2011-09-19,1,3,2,8,4,3,1,3,0,5,3,3,10,6,0,6,3,5,2,6
2011-09-26,1,5,2,8,18,4,7,1,4,8,1,2,2,10,2,7,0,2,2,4
2011-10-03,3,5,0,11,6,32,10,13,8,9,4,14,16,11,0,2,4,9,1,0
2011-10-10,4,7,2,15,10,2,9,12,4,6,2,13,10,15,1,9,2,6,5,0
2011-10-17,9,9,7,12,60,16,17,18,5,19,1,19,3,29,1,19,3,7,1,5
2011-10-24,11,2,1,10,103,71,16,22,24,7,1,18,25,17,9,16,2,72,2,4
2011-10-31,11,10,3,25,31,8,2,24,12,42,5,19,3,12,5,3,3,4,0,7
2011-11-07,11,2,1,10,103,71,16,22,24,7,1,18,25,17,9,16,2,72,2,4
2011-11-14,22,12,0,7,44,88,17,68,35,15,16,22,32,33,18,26,12,4,8,0
2011-11-21,42,16,28,41,91,50,17,36,41,37,0,25,16,71,17,2,5,5,10,6
2011-11-28,28,16,5,52,83,24,12,44,22,47,12,27,24,64,36,19,12,21,12,12
2011-12-05,63,30,12,44,111,5,12,31,19,33,21,12,35,66,31,83,2,30,15,33
2011-12-12,86,40,19,31,91,15,40,50,17,29,25,20,58,100,22,41,8,30,20,12
2011-12-19,41,42,11,86,163,7,20,27,32,58,28,12,43,92,85,36,4,23,82,69
2011-12-26,32,52,1,81,28,27,68,27,39,37,27,19,62,53,16,16,1,28,14,46
2012-01-02,140,36,12,77,106,20,36,73,41,87,39,34,45,179,85,12,4,63,63,29
2012-01-09,86,41,11,248,291,20,101,64,72,66,39,27,38,118,41,13,3,50,30,23
2012-01-16,41,91,11,36,185,2,21,124,20,43,19,31,45,184,27,20,2,5,61,3
2012-01-23,44,48,16,218,197,157,46,75,30,41,18,8,88,114,40,21,2,55,66,36
2012-01-30,61,18,8,58,147,53,63,38,32,23,26,24,30,96,47,15,6,31,32,12
2012-02-06,38,29,16,55,192,37,56,69,43,43,13,39,76,144,30,11,8,36,90,216
2012-02-13,121,37,7,113,190,41,92,53,25,104,13,18,30,100,53,15,2,44,73,12
2012-02-20,66,20,4,122,147,29,64,68,58,66,29,42,52,170,36,23,1,39,65,22
2012-02-27,69,37,3,59,131,42,104,44,46,50,12,35,65,98,45,3,0,51,45,15
2012-03-05,47,43,1,66,149,17,60,68,49,27,13,34,41,98,24,16,6,59,36,24
2012-03-12,16,6,7,46,99,9,68,63,19,23,22,24,15,98,25,0,0,47,46,23
2012-03-19,119,38,6,124,233,74,116,69,95,87,10,22,76,86,84,31,2,39,67,28
2012-03-26,49,28,3,74,146,40,83,86,60,39,22,59,22,89,46,47,1,48,57,7
2012-04-02,67,21,3,73,182,81,64,46,45,55,13,18,27,77,56,7,15,27,45,8
2012-04-09,50,14,2,8,68,48,41,140,50,25,14,16,22,91,17,27,10,35,24,26
2012-04-16,90,27,15,134,180,39,79,76,41,76,27,23,20,107,38,67,13,43,52,21
2012-04-23,31,24,5,88,142,41,79,48,41,71,10,12,21,86,28,45,4,23,23,41
2012-04-30,26,2,2,33,80,3,43,68,35,17,14,13,2,32,21,7,2,14,42,2
2012-05-07,77,11,8,81,194,40,104,81,65,19,58,28,37,70,84,74,19,56,48,39
2012-05-14,77,16,14,26,286,34,67,79,87,32,15,29,14,131,53,41,2,26,39,12
2012-05-21,49,11,21,26,129,18,119,102,53,44,45,33,22,104,60,23,25,18,23,13
2012-05-28,43,2,8,150,93,9,60,82,51,12,14,7,14,131,56,36,10,18,36,10
2012-06-04,127,16,3,128,199,22,64,84,105,19,48,45,20,93,40,48,12,37,34,4
2012-06-11,53,7,3,105,120,17,52,65,49,52,40,12,36,140,40,15,6,58,29,20
2012-06-18,34,7,9,161,151,21,72,68,52,54,38,25,8,113,32,13,8,44,33,6
2012-06-25,26,11,3,127,88,7,23,64,67,22,10,5,36,38,32,56,13,5,20,10
2012-07-02,53,14,5,34,87,10,61,45,37,12,13,19,9,107,26,4,11,29,24,2
2012-07-09,40,7,2,75,67,6,16,34,20,9,14,9,4,113,11,32,1,38,6,8
2012-07-16,39,11,12,28,52,7,18,16,8,4,36,3,13,31,7,13,2,4,8,4
2012-07-23,11,2,9,19,65,3,2,6,24,7,1,2,1,24,7,9,0,27,10,1
2012-07-30,7,6,20,8,6,1,5,6,11,1,4,1,3,30,3,9,0,0,2,2
2012-08-06,0,2,6,4,64,0,3,2,3,2,5,3,0,8,1,3,1,11,2,1
2012-08-13,6,0,9,14,18,12,3,1,0,3,6,1,2,9,5,2,1,2,1,4
2012-08-20,4,0,0,2,3,0,1,5,0,0,3,0,1,7,0,1,0,0,0,0
2012-08-27,0,0,1,3,0,0,0,3,1,0,4,0,0,3,0,6,0,8,0,4
2012-09-03,0,4,6,6,13,0,4,2,21,1,3,1,0,12,7,1,1,2,3,0
2012-09-10,8,1,1,11,9,0,0,1,0,0,1,2,2,11,0,1,2,1,2,2
2012-09-17,5,3,0,7,4,1,3,6,1,8,2,0,11,8,1,1,3,4,1,0
2012-09-24,0,2,2,5,8,0,0,8,1,17,0,3,1,5,1,2,2,1,2,0
2012-10-01,12,12,0,17,12,0,18,4,0,1,3,5,0,18,2,0,1,0,1,1
2012-10-08,0,12,3,13,13,0,5,6,10,1,2,1,0,12,1,26,8,0,3,0
2012-10-15,7,11,10,19,31,16,30,21,10,8,10,1,0,23,0,4,2,1,0,1
2012-10-22,8,11,30,18,35,8,12,13,11,0,1,12,37,16,2,14,11,0,13,7
2012-10-29,1,3,21,44,8,0,3,13,7,4,1,6,26,44,2,9,4,2,2,1
2012-11-05,9,9,32,13,73,19,38,21,7,0,28,18,68,44,14,35,7,3,30,6
2012-11-12,4,12,34,56,77,31,12,30,10,20,43,10,30,72,9,22,20,11,9,2
2012-11-19,3,8,25,55,21,8,16,12,8,2,15,14,26,54,16,2,8,3,14,8
2012-11-26,6,14,59,84,104,1,25,39,43,24,46,12,47,65,15,10,19,10,24,40
2012-12-03,8,9,24,20,105,28,14,19,31,20,15,9,21,69,54,23,26,1,6,11
2012-12-10,18,18,54,13,92,47,45,55,66,2,47,12,13,107,14,12,12,3,49,16
2012-12-17,18,37,22,122,192,8,19,20,58,3,13,1,13,90,17,15,20,3,21,1
2012-12-24,6,11,25,2,2,24,15,22,41,0,20,8,0,9,43,3,27,4,31,18
2012-12-31,7,47,35,77,67,0,15,47,120,28,25,0,22,129,66,65,32,5,44,0
2013-01-07,8,34,61,156,283,57,92,93,115,17,35,21,28,156,89,45,48,19,68,5
2013-01-14,28,54,22,50,135,1,22,40,113,28,74,14,58,240,33,13,31,30,55,16
2013-01-21,5,22,20,47,129,47,36,56,74,9,60,3,35,190,48,7,54,9,60,19
2013-01-28,20,34,46,84,203,67,29,36,107,44,48,11,33,166,31,7,50,35,53,1
2013-02-04,6,194,23,90,152,55,27,40,39,25,18,19,76,138,53,3,40,28,42,73
2013-02-11,33,66,55,63,107,35,24,31,113,22,35,9,20,128,36,16,13,58,81,2
2013-02-18,13,29,32,45,185,12,38,42,51,32,38,2,50,239,35,29,54,27,65,37
2013-02-25,47,185,39,84,110,49,18,47,89,29,48,19,38,196,61,30,29,27,65,13
2013-03-04,11,51,27,53,138,9,21,31,69,36,51,1,23,108,32,20,90,16,29,23
2013-03-11,39,81,15,66,100,1,29,41,62,31,59,0,32,160,86,55,71,13,54,15
2013-03-18,41,68,65,77,228,27,23,55,70,28,59,18,51,131,29,7,38,48,43,17
2013-03-25,12,110,50,107,130,8,10,38,180,42,90,46,23,331,96,113,119,32,49,6
2013-04-01,22,38,8,40,137,57,11,49,39,19,61,11,44,155,106,32,60,21,31,11
2013-04-08,21,27,13,109,235,8,23,47,114,69,55,35,28,168,44,32,102,38,62,2
2013-04-15,38,27,14,83,138,10,17,42,54,38,78,13,34,137,34,96,131,24,52,17
2013-04-22,31,54,30,55,166,18,33,86,34,45,56,34,61,144,25,29,73,73,67,13
2013-04-29,50,54,43,39,122,1,34,54,108,37,32,17,30,119,58,47,55,15,40,1
2013-05-06,34,80,8,139,149,9,30,54,79,16,64,48,54,126,33,61,99,33,3,3
2013-05-13,40,115,4,85,124,70,24,45,47,9,20,28,44,239,50,71,88,46,36,18
2013-05-20,46,44,5,52,187,64,40,46,48,11,37,19,49,133,13,38,59,38,24,13
2013-05-27,55,67,8,59,195,10,31,48,96,8,30,39,40,140,93,51,31,17,23,9
2013-06-03,12,58,6,37,130,1,20,24,57,7,28,9,27,129,73,27,50,39,26,12
2013-06-10,35,47,28,75,126,12,31,21,39,10,24,28,53,97,35,75,27,21,32,5
2013-06-17,5,105,7,42,154,37,8,40,59,24,50,22,35,121,40,20,15,34,46,19
2013-06-24,37,106,12,67,149,78,32,27,65,15,10,8,62,66,52,96,46,21,18,17
2013-07-01,22,35,70,15,106,13,17,10,9,4,38,19,32,56,26,44,12,16,25,12
2013-07-08,28,30,14,54,151,19,11,30,25,26,11,12,29,42,3,74,8,5,8,18
2013-07-15,22,11,1,81,100,1,6,8,61,10,10,13,25,34,10,14,32,11,15,11
2013-07-22,11,36,8,17,91,2,1,30,15,14,12,21,25,30,12,24,13,10,3,5
2013-07-29,8,84,5,7,46,35,3,10,4,7,3,34,7,62,10,9,2,1,3,4
2013-08-05,16,10,3,20,38,0,5,1,5,5,1,5,7,9,11,0,0,0,4,3
2013-08-12,0,0,2,3,13,41,0,0,10,9,2,0,0,8,4,0,0,0,3,2
2013-08-19,3,0,0,2,22,16,2,1,1,2,3,0,2,4,0,6,5,0,3,4
2013-08-26,9,1,3,6,33,3,0,6,0,2,4,0,1,4,2,2,7,11,7,0
2013-09-02,0,1,0,8,9,11,3,3,0,0,2,0,0,2,5,2,1,2,0,1
2013-09-09,1,1,1,13,14,0,0,20,8,0,2,0,1,0,0,0,1,1,0,0
2013-09-16,3,0,1,3,48,1,1,1,2,4,1,4,2,4,4,0,0,0,1,0
2013-09-23,5,3,1,3,7,2,11,8,2,2,8,1,1,6,3,4,0,2,2,0
2013-09-30,9,2,8,9,18,1,1,18,1,2,2,0,2,9,0,11,2,2,3,1
2013-10-07,0,22,0,4,6,9,12,13,12,1,31,0,0,20,17,0,1,5,5,0
2013-10-14,1,15,1,17,21,9,3,8,2,11,6,1,5,18,14,15,1,3,11,2
2013-10-21,10,26,7,31,30,19,25,26,20,20,46,0,4,15,11,20,5,23,6,2
2013-10-28,1,9,11,13,21,28,8,10,33,35,18,6,1,12,46,30,1,0,18,5
2013-11-04,8,18,4,16,79,15,14,82,19,66,39,0,5,38,38,8,4,5,27,1
2013-11-11,14,5,11,71,64,22,48,40,32,49,38,2,2,25,19,7,2,22,11,6
2013-11-18,8,24,8,37,55,2,13,21,32,20,26,1,4,43,15,12,0,2,20,13
2013-11-25,3,14,19,80,18,10,32,53,39,18,39,1,10,52,8,46,0,20,28,2
2013-12-02,14,20,10,44,101,20,7,39,26,64,22,3,14,35,63,14,4,15,25,3
2013-12-09,30,30,11,81,63,16,38,40,37,21,12,11,6,29,5,18,0,44,11,2
2013-12-16,35,44,23,84,59,59,37,42,19,82,4,2,22,54,17,19,1,19,39,4
2013-12-23,0,3,0,3,6,0,1,0,3,1,0,0,0,10,0,3,4,0,2,2
2013-12-30,1,27,1,49,26,0,37,43,29,18,18,2,13,30,21,26,0,20,23,5
2014-01-06,4,49,4,205,150,48,47,81,112,22,27,10,21,80,93,3,0,28,63,15
2014-01-13,41,50,4,73,80,69,61,59,54,84,19,7,18,140,18,9,2,31,32,13
2014-01-20,72,19,13,40,82,12,44,14,34,40,4,10,14,43,25,3,0,21,36,20
2014-01-27,41,24,24,76,58,67,24,34,40,27,17,21,10,108,46,83,66,22,43,17
2014-02-03,14,43,14,66,84,47,28,9,7,23,16,4,13,35,14,2,17,13,28,6
2014-02-10,1,31,26,76,59,77,18,66,38,30,14,17,27,68,20,34,3,24,38,14
2014-02-17,72,29,21,114,60,73,71,56,26,50,30,22,30,77,11,16,2,18,47,89
2014-02-24,36,40,30,104,116,56,23,52,55,14,9,13,26,106,45,25,23,32,38,33
2014-03-03,51,53,41,103,99,61,78,52,39,6,23,0,28,77,22,1,25,21,31,2
2014-03-10,77,48,20,121,112,1,25,55,59,53,32,21,32,76,25,29,8,11,50,13
2014-03-17,21,49,50,134,197,112,34,85,64,32,29,8,39,107,29,44,11,28,70,22
2014-03-24,34,60,58,185,116,54,54,50,97,31,52,14,26,100,22,42,12,30,47,32
2014-03-31,68,51,54,72,215,144,46,35,48,66,39,11,40,36,4,34,9,9,40,51
2014-04-07,157,21,26,109,82,61,41,62,87,43,66,5,46,80,14,54,12,54,54,20
2014-04-14,38,31,56,107,155,57,47,15,92,32,69,7,44,60,3,25,18,27,40,98
2014-04-21,25,21,6,22,80,21,1,23,9,18,18,1,26,38,21,13,16,12,10,3
2014-04-28,5,10,0,0,13,3,0,7,0,4,11,5,0,15,0,8,0,5,2,0
2014-05-05,40,67,59,76,70,44,88,34,93,31,118,17,13,42,48,9,19,92,89,91
2014-05-12,274,35,62,109,391,20,42,87,165,77,136,37,84,125,1,56,56,37,34,13
2014-05-19,48,23,9,133,178,30,22,14,176,96,109,50,23,85,3,46,8,21,19,8
2014-05-26,80,35,74,79,124,14,74,41,57,100,105,4,2,63,4,63,37,22,38,50
2014-06-02,85,17,27,158,235,72,20,33,36,38,86,27,16,85,6,11,19,22,13,38
2014-06-09,0,4,8,17,88,29,7,37,30,70,14,18,8,102,3,27,3,20,2,31
2014-06-16,177,27,11,63,187,35,60,21,43,76,132,26,8,133,5,9,6,12,2,24
2014-06-23,84,20,8,106,140,4,14,9,40,48,44,27,8,84,8,33,3,13,9,24
2014-06-30,25,19,4,7,111,31,15,28,12,11,46,2,8,61,1,11,20,10,6,0
2014-07-07,17,27,5,81,72,8,16,7,15,40,33,15,1,76,10,13,31,6,8,34
2014-07-14,25,4,3,14,75,17,11,5,27,33,7,19,6,107,6,15,9,32,4,16
2014-07-21,10,7,2,18,44,2,1,7,9,12,51,14,4,69,23,4,14,49,1,6
2014-07-28,12,0,7,22,40,93,3,6,2,8,27,7,0,23,2,13,0,13,4,1
2014-08-04,8,5,0,7,37,57,4,4,17,1,15,11,1,35,2,12,11,1,1,0
2014-08-11,2,2,4,3,10,25,3,5,9,12,7,5,1,15,0,1,0,4,3,9
2014-08-18,1,4,1,0,6,34,6,3,2,1,10,0,2,10,1,1,0,0,8,3
2014-08-25,1,3,7,1,7,0,1,5,4,0,1,0,0,9,1,2,0,2,4,2
2014-09-01,0,0,0,1,5,1,3,0,1,2,12,0,1,2,2,0,8,2,2,1
2014-09-08,0,2,0,3,10,0,3,1,1,0,2,0,2,1,0,5,0,1,5,0
2014-09-15,0,4,1,1,11,0,2,3,4,3,7,6,0,27,5,0,1,0,8,0
2014-09-22,1,4,1,2,16,7,3,5,3,0,6,3,0,8,1,1,0,4,7,1
2014-09-29,2,4,0,3,20,3,7,3,4,1,9,1,2,26,8,6,2,1,18,0
2014-10-06,0,10,1,3,17,1,18,1,1,0,26,11,0,43,5,2,4,3,27,4
2014-10-13,0,1,1,4,21,0,20,17,3,0,17,0,0,26,10,3,0,0,3,0
2014-10-20,3,12,26,9,34,1,22,3,1,3,16,4,3,39,33,14,0,0,40,7
2014-10-27,1,7,2,13,28,2,13,11,3,1,11,3,6,32,16,7,21,0,34,10
2014-11-03,7,4,0,16,44,0,18,11,11,1,11,1,5,46,28,28,4,0,30,7
2014-11-10,10,5,0,29,33,3,20,7,3,1,14,10,6,87,5,15,4,31,21,1
2014-11-17,26,15,7,14,85,3,28,13,9,3,14,8,25,33,28,7,25,23,24,4
2014-11-24,14,15,2,3,16,0,9,23,6,0,24,2,9,25,16,0,9,3,25,0
2014-12-01,41,12,6,39,95,0,16,15,14,10,56,7,13,122,4,23,4,11,110,10
2014-12-08,31,39,10,34,43,3,2,30,25,19,34,20,18,70,36,5,23,22,63,9
2014-12-15,15,7,0,0,35,0,7,7,4,2,30,36,4,72,5,21,14,0,17,10
2014-12-22,8,23,0,11,30,4,1,9,10,17,27,17,21,12,5,17,1,1,83,2
2014-12-29,49,42,32,38,259,15,11,98,61,38,112,61,53,256,45,39,27,11,103,25
